数据库：分省年度数据
指标：森林病虫鼠害发生面积(万公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3.96,4.03,4.03,3.83,3.96,3.92,3.86,3.77,3.73,3.60,3.56,,,,,,,,,
天津市,4.77,5.00,4.96,4.51,4.67,3.65,3.16,2.83,2.00,3.00,2.79,,,,,,,,,
河北省,53.18,54.29,53.60,55.77,57.80,50.88,40.17,37.63,37.87,34.15,30.93,,,,,,,,,
山西省,24.21,24.09,23.92,24.20,23.54,28.01,30.72,33.82,37.27,29.88,37.57,,,,,,,,,
内蒙古自治区,122.73,120.67,120.33,115.76,112.82,106.27,102.07,110.86,108.00,63.47,75.53,,,,,,,,,
辽宁省,65.90,65.05,66.69,72.43,72.09,70.37,68.75,62.75,64.67,44.70,57.03,,,,,,,,,
吉林省,26.34,24.59,26.32,24.49,23.97,29.43,34.86,41.03,36.53,24.16,21.81,,,,,,,,,
黑龙江省,44.56,51.55,43.75,42.53,59.45,36.91,62.28,98.64,51.13,44.35,43.31,,,,,,,,,
上海市,0.50,0.44,0.55,0.56,0.74,1.15,0.99,1.08,1.13,1.39,1.53,,,,,,,,,
江苏省,9.24,12.04,11.67,8.14,9.40,8.35,8.29,9.42,9.80,8.51,5.31,,,,,,,,,
浙江省,10.25,6.98,6.34,6.65,6.39,7.05,6.21,5.98,4.80,7.45,8.85,,,,,,,,,
安徽省,38.42,40.16,38.82,40.09,35.60,33.66,35.11,34.83,32.47,26.15,24.03,,,,,,,,,
福建省,23.12,24.83,19.90,19.69,19.17,20.77,24.65,28.73,32.13,29.31,36.82,,,,,,,,,
江西省,26.59,27.08,30.53,35.99,39.68,38.73,38.73,40.55,41.00,40.56,19.11,,,,,,,,,
山东省,52.23,55.32,52.14,61.27,60.30,59.87,52.09,48.05,50.60,55.12,46.09,,,,,,,,,
河南省,57.30,59.47,53.84,51.44,51.65,47.97,51.88,60.21,53.13,44.90,46.92,,,,,,,,,
湖北省,39.35,35.47,32.52,30.23,32.51,33.47,33.41,32.80,27.07,25.85,24.81,,,,,,,,,
湖南省,35.03,34.73,29.00,39.80,38.91,39.34,19.08,25.50,27.93,21.91,29.42,,,,,,,,,
广东省,30.67,30.66,33.73,33.92,42.04,44.21,47.44,49.98,53.80,73.74,80.66,,,,,,,,,
广西壮族自治区,34.89,35.94,36.31,36.25,34.95,35.94,39.08,34.52,36.80,29.97,22.82,,,,,,,,,
海南省,2.07,2.37,0.94,0.99,1.25,0.72,1.69,1.84,1.87,1.61,4.50,,,,,,,,,
重庆市,28.94,28.60,28.24,27.87,27.69,27.77,26.10,25.07,25.00,14.53,14.47,,,,,,,,,
四川省,74.40,76.60,72.70,69.90,71.56,77.59,72.81,79.89,76.13,68.88,71.01,,,,,,,,,
贵州省,23.46,23.56,20.82,27.18,26.86,29.18,21.73,26.93,26.60,27.20,27.00,,,,,,,,,
云南省,30.33,31.44,29.95,31.10,34.99,33.11,33.88,39.82,36.80,40.47,34.50,,,,,,,,,
西藏自治区,27.72,27.44,27.32,26.93,28.23,13.97,3.16,3.16,9.13,9.10,,,,,,,,,,
陕西省,42.95,43.76,41.39,41.65,40.24,40.53,40.32,58.09,58.47,65.89,56.44,,,,,,,,,
甘肃省,35.46,31.48,29.97,29.82,23.83,24.32,24.32,24.09,27.20,25.12,22.19,,,,,,,,,
青海省,22.52,30.47,27.87,29.34,28.38,26.55,27.44,24.69,27.87,22.77,25.12,,,,,,,,,
宁夏回族自治区,26.98,25.74,32.28,28.61,33.63,36.66,31.59,29.55,41.33,31.73,32.90,,,,,,,,,
新疆维吾尔自治区,173.30,175.98,164.44,134.21,105.11,118.86,143.16,120.01,47.60,32.10,27.63,,,,,,,,,
数据来源：国家统计局
