数据库：分省年度数据
指标：森林病害防治面积(万公顷)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,0.20,0.16,0.24,0.26,0.20,0.07,0.13,,,0.01,0.10,,,,,,,,,
天津市,0.69,0.72,0.71,0.60,0.56,0.47,0.09,0.34,0.20,0.13,0.22,,,,,,,,,
河北省,2.44,2.71,2.72,3.75,3.11,2.98,2.05,1.93,1.87,1.17,1.23,,,,,,,,,
山西省,0.61,0.60,0.22,0.22,1.69,0.21,0.39,0.15,0.07,0.12,0.04,,,,,,,,,
内蒙古自治区,1.23,4.22,3.24,2.49,0.66,0.92,0.96,6.40,2.00,1.27,1.32,,,,,,,,,
辽宁省,4.86,5.57,5.13,5.76,5.41,4.24,3.63,4.39,5.13,2.07,2.13,,,,,,,,,
吉林省,2.34,1.48,1.83,1.64,2.07,1.90,2.23,2.79,2.60,2.65,0.96,,,,,,,,,
黑龙江省,3.82,3.09,3.59,3.69,15.15,1.94,1.68,3.54,2.60,2.84,2.99,,,,,,,,,
上海市,0.04,0.05,0.09,0.08,0.05,0.07,0.09,0.09,0.07,0.11,0.88,,,,,,,,,
江苏省,0.99,1.01,0.88,0.76,,1.71,1.91,1.73,0.27,0.28,0.67,,,,,,,,,
浙江省,1.25,1.11,1.08,1.48,1.76,1.80,1.89,2.33,0.47,2.85,3.52,,,,,,,,,
安徽省,2.98,2.98,3.56,4.34,4.53,4.95,4.37,4.45,3.80,2.05,1.69,,,,,,,,,
福建省,0.96,1.12,0.85,1.14,1.11,1.35,1.43,1.57,1.53,2.22,2.75,,,,,,,,,
江西省,3.59,3.65,4.43,1.27,4.13,5.36,2.03,2.62,2.73,4.78,1.24,,,,,,,,,
山东省,8.32,9.20,9.59,10.71,10.24,11.24,11.81,13.13,11.73,13.01,10.29,,,,,,,,,
河南省,9.86,9.94,9.45,9.98,2.81,9.70,9.39,8.46,7.53,6.76,6.52,,,,,,,,,
湖北省,2.34,2.43,2.13,1.81,2.80,1.99,4.00,1.59,1.67,1.76,1.93,,,,,,,,,
湖南省,3.40,3.40,1.42,0.15,0.62,0.50,0.22,0.19,0.80,0.73,0.07,,,,,,,,,
广东省,0.87,1.04,1.17,1.33,4.39,3.69,2.73,2.99,1.67,2.26,2.03,,,,,,,,,
广西壮族自治区,0.94,0.37,0.11,0.25,0.29,0.26,0.40,0.64,0.40,0.25,0.32,,,,,,,,,
海南省,0.02,,0.00,0.00,0.04,,0.01,,,,,,,,,,,,,
重庆市,2.14,1.61,2.08,0.68,1.53,1.12,0.54,2.24,1.60,2.27,1.09,,,,,,,,,
四川省,4.44,2.34,5.80,3.38,5.88,6.01,6.54,5.98,6.07,7.13,4.52,,,,,,,,,
贵州省,1.12,1.07,1.16,0.43,1.41,1.05,1.11,1.31,1.27,1.20,1.74,,,,,,,,,
云南省,4.18,4.40,3.98,3.95,3.23,3.14,4.19,3.48,3.40,5.67,3.58,,,,,,,,,
西藏自治区,4.96,6.98,4.64,6.00,2.08,,,,,,,,,,,,,,,
陕西省,2.79,2.53,2.10,1.47,1.00,0.82,0.69,1.91,1.27,1.17,0.26,,,,,,,,,
甘肃省,6.50,6.60,4.06,3.09,2.73,2.35,5.75,6.53,7.33,3.02,1.78,,,,,,,,,
青海省,,,1.30,1.30,2.14,1.38,1.27,1.49,1.00,1.16,1.46,,,,,,,,,
宁夏回族自治区,1.11,1.29,,0.18,,,0.32,0.27,,0.01,,,,,,,,,,
新疆维吾尔自治区,6.99,8.16,6.38,6.49,7.36,10.05,17.56,2.00,1.53,0.34,0.27,,,,,,,,,
数据来源：国家统计局
