数据库：分省年度数据
指标：城镇单位就业人员平均工资(元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,102268,93006,84742,75482,65158,57779,55844,45823,39684,,,,,,,,,,,
天津市,72773,67773,61514,55658,51489,43937,39990,33312,27628,,,,,,,,,,,
河北省,45114,41501,38658,35309,31451,27774,24276,19742,16456,,,,,,,,,,,
山西省,48969,46407,44236,39230,33057,28066,25489,21315,18106,,,,,,,,,,,
内蒙古自治区,53748,50723,46557,41118,35211,30486,25949,21794,18382,,,,,,,,,,,
辽宁省,48190,45505,41858,38154,34437,30523,27179,22882,19365,,,,,,,,,,,
吉林省,46516,42846,38407,33610,29003,25943,23294,20371,16393,,,,,,,,,,,
黑龙江省,44036,40794,36406,31302,27735,24805,21764,18481,15894,,,,,,,,,,,
上海市,100251,90908,78673,75591,66115,58336,52122,44976,37585,,,,,,,,,,,
江苏省,60867,57177,50639,45487,39772,35217,31297,27212,23657,,,,,,,,,,,
浙江省,61572,56571,50197,45162,40640,36553,33622,30818,27570,,,,,,,,,,,
安徽省,50894,47806,44601,39352,33341,28723,25703,21699,17610,,,,,,,,,,,
福建省,53426,48538,44525,38588,32340,28366,25555,22277,19424,,,,,,,,,,,
江西省,46218,42473,38512,33239,28363,24165,20597,18144,15370,,,,,,,,,,,
山东省,51825,46998,41904,37618,33321,29398,26234,22734,19135,,,,,,,,,,,
河南省,42179,38301,37338,33634,29819,26906,24438,20639,16791,,,,,,,,,,,
湖北省,49838,43899,39846,36128,31811,26547,22384,19548,15779,,,,,,,,,,,
湖南省,47117,42726,38971,34586,29670,26534,24146,21060,17400,,,,,,,,,,,
广东省,59481,53318,50278,45060,40432,36469,33282,29658,26400,,,,,,,,,,,
广西壮族自治区,45424,41391,36386,33032,30673,27322,24798,21251,17571,,,,,,,,,,,
海南省,49882,44971,39485,36244,30775,24790,21767,19220,15843,,,,,,,,,,,
重庆市,55588,50006,44498,39430,34727,30499,26640,22965,19172,,,,,,,,,,,
四川省,52555,47965,42339,37330,32567,28149,24725,21081,17612,,,,,,,,,,,
贵州省,52772,47364,41156,36102,30433,27437,23979,20254,16481,,,,,,,,,,,
云南省,46101,42447,37629,34004,29195,26163,23305,19912,18262,,,,,,,,,,,
西藏自治区,61235,57773,51705,49464,49898,45347,44055,42820,29119,,,,,,,,,,,
陕西省,50535,47446,43073,38143,33384,29566,25478,20977,16646,,,,,,,,,,,
甘肃省,46960,42833,37679,32092,29096,26743,23632,20657,16991,,,,,,,,,,,
青海省,57084,51393,46483,41370,36121,32481,30101,25318,21981,,,,,,,,,,,
宁夏回族自治区,54858,50476,47436,42703,37166,32916,30050,25723,20900,,,,,,,,,,,
新疆维吾尔自治区,53471,49064,44576,38238,32003,27617,24686,21249,17704,,,,,,,,,,,
注：1995-2008年的城镇单位就业人员平均工资即为原来的城镇单位就业人员平均劳动报酬。
数据来源：国家统计局
