数据库：分省年度数据
指标：生活垃圾卫生填埋无害化处理量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,488.6,489.9,443.2,429.6,445.4,548.1,598.8,535.1,468.3,407.1,368.2,,,,,,,,,
天津市,102.1,112.2,103.1,120.7,125.4,126.4,113.1,113.2,91.8,87.3,43.3,,,,,,,,,
河北省,376.3,367.1,310.4,294.2,311.6,348.6,302.7,277.9,231.4,233.1,228.3,,,,,,,,,
山西省,292.2,204.9,203.1,121.2,213.5,202.4,148.6,121.3,62.5,81.3,77.6,,,,,,,,,
内蒙古自治区,286.4,304.5,335.2,283.8,251.7,240.0,196.9,151.9,142.9,122.6,135.9,,,,,,,,,
辽宁省,737.3,726.8,773.7,704.7,571.6,450.5,439.8,399.5,349.0,326.9,330.9,,,,,,,,,
吉林省,216.2,207.6,176.5,197.7,172.4,165.6,167.4,200.5,84.5,216.9,270.4,,,,,,,,,
黑龙江省,277.6,296.0,328.6,338.7,284.6,256.7,228.8,221.3,244.6,339.9,263.8,,,,,,,,,
上海市,328.8,419.0,377.5,362.7,416.5,380.7,327.3,377.3,208.8,69.7,15.8,,,,,,,,,
江苏省,455.2,432.6,493.3,502.2,488.5,479.6,618.6,577.8,610.4,649.4,694.5,,,,,,,,,
浙江省,460.4,471.0,469.6,513.8,504.9,498.5,412.0,401.7,327.1,431.7,476.1,,,,,,,,,
安徽省,333.0,346.9,314.8,318.0,231.1,230.4,219.7,176.7,116.7,73.7,102.7,,,,,,,,,
福建省,188.5,192.8,238.1,263.5,241.7,228.9,195.2,167.5,124.4,215.0,194.0,,,,,,,,,
江西省,287.1,316.2,291.3,270.6,243.9,237.0,198.7,177.8,141.9,129.2,126.1,,,,,,,,,
山东省,533.9,546.8,719.4,702.1,751.9,721.9,665.9,662.9,675.4,572.0,796.3,,,,,,,,,
河南省,635.8,607.8,588.3,538.0,501.0,459.5,458.5,337.8,269.6,344.1,280.9,,,,,,,,,
湖北省,322.4,294.8,302.3,315.6,405.8,362.6,347.4,269.0,196.8,520.0,503.4,,,,,,,,,
湖南省,568.4,569.3,514.5,459.0,399.1,341.0,323.1,269.7,236.3,192.9,159.0,,,,,,,,,
广东省,1196.0,1200.4,1195.9,1094.2,1031.6,860.5,787.1,735.6,645.6,662.4,663.9,,,,,,,,,
广西壮族自治区,311.2,281.7,244.6,219.1,203.5,186.1,169.4,140.2,96.3,104.0,115.2,,,,,,,,,
海南省,82.3,61.8,48.5,97.7,61.6,53.6,51.9,50.0,49.2,51.7,51.9,,,,,,,,,
重庆市,261.0,234.4,237.8,217.5,216.3,172.6,150.0,111.0,101.4,103.9,116.4,,,,,,,,,
四川省,494.2,512.2,603.3,520.7,464.3,420.5,414.7,361.8,301.3,245.6,206.2,,,,,,,,,
贵州省,255.3,229.1,216.6,193.3,193.3,170.8,146.3,130.9,123.2,92.5,70.4,,,,,,,,,
云南省,132.0,113.3,109.0,94.1,123.2,174.6,216.9,193.1,75.3,159.4,138.9,,,,,,,,,
西藏自治区,,,,,,,,14.6,14.6,,,,,,,,,,,
陕西省,491.1,417.1,356.5,364.0,281.2,244.4,198.6,173.3,173.8,147.5,127.8,,,,,,,,,
甘肃省,158.4,115.4,112.8,115.2,105.6,85.3,84.7,68.4,51.7,51.3,113.1,,,,,,,,,
青海省,67.0,57.6,59.1,74.3,58.1,56.9,47.8,61.4,56.6,54.4,55.1,,,,,,,,,
宁夏回族自治区,110.4,98.0,82.1,80.7,85.0,29.6,54.1,57.6,53.9,48.5,39.6,,,,,,,,,
新疆维吾尔自治区,295.3,265.4,263.5,257.0,214.0,165.5,140.2,95.8,82.8,123.4,123.6,,,,,,,,,
数据来源：国家统计局
