数据库：分省年度数据
指标：地质灾害防治项目数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,42,7,3,3,5,,1,2,1,3,,,,,,,,,
天津市,,6,9,4,5,3,1,1,,2,,,,,,,,,,
河北省,,195,123,110,275,16,22,40,12,16,18,,,,,,,,,
山西省,,68,120,54,95,30,31,89,25,38,50,,,,,,,,,
内蒙古自治区,,4,26,34,24,1,1,,,,6,,,,,,,,,
辽宁省,,6,83,83,77,5,21,16,37,15,,,,,,,,,,
吉林省,,23,10,10,7,42,3,1,3,19,10,,,,,,,,,
黑龙江省,,23,10,15,16,9,14,3,13,29,14,,,,,,,,,
上海市,,2,1,1,1,,3,3,2,2,,,,,,,,,,
江苏省,,91,117,171,81,40,27,27,32,26,30,,,,,,,,,
浙江省,,1549,1123,872,1433,714,355,424,496,473,152,,,,,,,,,
安徽省,,624,524,332,189,156,164,123,73,46,27,,,,,,,,,
福建省,,1765,1043,226,1125,2460,266,286,466,664,158,,,,,,,,,
江西省,,106,101,140,258,275,284,82,131,187,126,,,,,,,,,
山东省,,109,108,137,185,153,205,176,57,40,46,,,,,,,,,
河南省,,27,5,58,32,,58,10,31,30,69,,,,,,,,,
湖北省,,228,287,917,756,1377,92,115,141,181,172,,,,,,,,,
湖南省,,422,536,684,951,788,410,166,273,94,83,,,,,,,,,
广东省,,2283,7146,2137,3001,1625,252,87,27,27,62,,,,,,,,,
广西壮族自治区,,940,1231,551,2803,1879,463,457,353,86,41,,,,,,,,,
海南省,,95,76,8,3,17,10,3,10,15,3,,,,,,,,,
重庆市,,665,761,37,2596,3153,1445,737,209,363,175,,,,,,,,,
四川省,,24183,9062,10520,10126,12287,377,119,197,165,323,,,,,,,,,
贵州省,,287,1445,1481,244,23,322,195,166,123,327,,,,,,,,,
云南省,,2910,2418,2152,3208,253,198,174,41,324,161,,,,,,,,,
西藏自治区,,6,14,4,3,4,19,21,24,4,3,,,,,,,,,
陕西省,,157,210,70,169,301,239,82,53,185,162,,,,,,,,,
甘肃省,,130,256,23,417,2422,4,1,5,,5,,,,,,,,,
青海省,,21,15,30,8,7,16,8,7,10,4,,,,,,,,,
宁夏回族自治区,,1,1,2,1,,6,6,2,4,,,,,,,,,,
新疆维吾尔自治区,,16,14,5,14,16,17,39,26,10,17,,,,,,,,,
数据来源：国家统计局
