数据库：分省年度数据
指标：等外公路公路里程(万公里)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,0.00,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.02
天津市,,,,,,,,0.00,0.00,0.00
河北省,0.63,0.68,0.76,0.79,0.83,0.94,1.20,1.41,1.64,0.87
山西省,0.33,0.34,0.35,0.38,0.40,0.60,1.06,1.28,1.64,0.18
内蒙古自治区,1.20,1.25,1.27,1.30,1.36,2.85,3.76,4.78,4.49,0.81
辽宁省,1.46,1.50,1.55,1.64,1.68,1.80,2.07,2.16,2.19,0.02
吉林省,0.74,0.76,0.78,0.80,0.94,1.08,1.26,1.44,1.59,0.18
黑龙江省,2.74,2.84,2.98,3.15,3.30,3.70,4.67,4.71,5.58,0.54
上海市,,,,,,,,,0.00,
江苏省,0.77,0.78,0.80,0.81,0.86,0.96,1.16,1.60,1.83,0.78
浙江省,0.26,0.34,0.35,0.39,0.43,0.48,0.63,0.78,0.95,0.24
安徽省,0.47,0.57,0.57,0.61,0.70,0.98,1.42,2.01,2.50,0.57
福建省,1.83,1.86,1.82,1.87,2.04,2.20,2.21,2.37,2.86,1.03
江西省,2.73,2.94,3.03,3.22,3.91,4.48,5.65,5.81,6.16,1.88
山东省,0.11,0.14,0.15,0.18,0.21,0.27,0.36,0.45,0.58,
河南省,5.22,5.30,5.52,5.64,6.25,6.51,7.04,7.38,8.63,0.45
湖北省,1.27,1.40,1.50,1.63,1.84,2.84,3.47,3.66,4.60,1.51
湖南省,2.50,2.88,3.04,3.33,4.40,4.32,6.59,8.40,10.94,4.24
广东省,1.50,1.66,1.77,1.83,2.00,2.48,2.83,3.03,3.07,0.89
广西壮族自治区,1.43,1.50,1.63,1.76,2.05,2.33,2.62,3.13,3.82,1.10
海南省,0.06,0.07,0.07,0.08,0.02,0.56,0.73,0.85,0.92,0.85
重庆市,2.87,3.25,3.39,3.49,3.98,4.05,4.97,5.47,5.84,0.74
四川省,5.27,5.52,5.92,6.23,6.01,6.61,8.37,7.37,7.98,3.54
贵州省,7.15,7.71,7.80,7.82,7.91,7.45,6.13,6.77,6.40,1.14
云南省,4.09,4.46,4.71,4.87,5.11,6.79,7.92,9.56,9.87,5.57
西藏自治区,2.10,2.19,2.34,2.42,2.46,2.78,2.86,2.91,2.89,3.28
陕西省,1.60,1.63,1.51,1.25,1.30,1.56,2.34,3.05,5.25,0.52
甘肃省,2.40,2.68,2.98,3.20,3.31,3.74,4.73,5.00,5.28,0.85
青海省,1.19,1.30,1.39,1.43,1.46,2.04,2.40,2.20,2.31,0.27
宁夏回族自治区,0.02,0.02,0.05,0.06,0.13,0.15,0.16,0.16,0.18,0.01
新疆维吾尔自治区,4.36,4.47,4.70,5.08,5.43,5.91,6.53,7.07,7.38,1.79
数据来源：国家统计局
