数据库：分省年度数据
指标：15岁及以上文盲人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,236,239,229,272,,374,416,440,575,7152,573,580,650,,,,,,,
天津市,263,222,233,251,,289,318,338,349,5793,462,545,574,,,,,,,
河北省,1557,1553,1879,1879,,2538,2556,3303,3407,53638,3690,3955,4091,,,,,,,
山西省,742,529,592,746,,1027,1068,1066,1103,19472,1466,1452,1591,,,,,,,
内蒙古自治区,832,759,718,800,,1382,1512,1532,1739,29476,2015,2628,2556,,,,,,,
辽宁省,579,582,736,757,,1094,1193,1289,1415,22839,1543,1680,1811,,,,,,,
吉林省,575,456,372,458,,733,964,992,1143,17994,874,880,974,,,,,,,
黑龙江省,764,608,686,757,,1328,1259,1333,1517,26633,1529,1835,2051,,,,,,,
上海市,566,658,406,442,,592,616,621,747,11213,996,861,1170,,,,,,,
江苏省,2870,2148,2742,2855,,4275,4802,4883,5528,83702,7955,8753,8477,,,,,,,
浙江省,2341,2150,2051,2553,,3156,3703,3960,3947,65172,5166,5096,5177,,,,,,,
安徽省,2980,3014,3385,3525,,5889,6424,7489,7292,119875,7390,6694,8510,,,,,,,
福建省,1435,1312,1204,1183,,2255,2773,3022,3049,49279,4192,3650,3680,,,,,,,
江西省,1005,825,1103,1115,,1515,1987,2225,2787,45038,2949,2644,3371,,,,,,,
山东省,3766,3604,4204,4607,,5302,5707,5950,6648,127449,9274,10020,8180,,,,,,,
河南省,2797,3004,3344,3622,,4475,5008,5449,5955,95891,6006,6773,6592,,,,,,,
湖北省,2340,2158,2431,2469,,3399,3391,3843,4330,74114,5419,5522,6896,,,,,,,
湖南省,1505,1408,1820,1959,,2372,2819,2601,3144,58377,3945,4476,4352,,,,,,,
广东省,2272,2051,2061,2264,,2548,2812,2850,3486,57370,4020,4308,4045,,,,,,,
广西壮族自治区,1102,1045,1134,1261,,1708,1896,1976,2024,40625,3030,3309,3498,,,,,,,
海南省,267,286,266,290,,472,520,517,568,8162,443,549,520,,,,,,,
重庆市,1071,995,1082,1043,,1471,1614,1677,2032,34244,2969,2095,2547,,,,,,,
四川省,4044,3723,3866,4156,,5503,6239,6461,7678,141104,7873,8046,9171,,,,,,,
贵州省,2506,2350,2679,2751,,3357,3680,4177,4736,75750,4777,5533,5152,,,,,,,
云南省,2596,2614,2608,2773,,4363,4239,5158,5276,89713,5423,6941,7425,,,,,,,
西藏自治区,789,814,696,589,,812,759,745,887,11953,873,1057,854,,,,,,,
陕西省,1508,1132,1243,1410,,2030,2326,2525,2635,40903,3051,3421,4385,,,,,,,
甘肃省,1546,1309,1559,1778,,3026,3349,3677,4201,54780,3844,4013,4090,,,,,,,
青海省,516,517,465,409,,575,654,720,754,13143,883,924,954,,,,,,,
宁夏回族自治区,353,339,318,362,,428,430,587,649,10935,657,731,716,,,,,,,
新疆维吾尔自治区,486,598,507,541,,509,698,637,964,16919,1038,984,1223,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
