数据库：分省年度数据
指标：道路面积(万平方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,13834,13884,13509,9164,9395,9179,8941,7734,9858,16227,11213,,,,,,,,,
天津市,13144,12440,11611,10492,9159,8357,9196,7775,7933,6669,5897,,,,,,,,,
河北省,30113,29304,28433,27935,26639,23399,21436,19901,17928,16124,14988,,,,,,,,,
山西省,14470,13614,12233,11349,10312,9605,9045,8075,8250,7137,6472,,,,,,,,,
内蒙古自治区,18432,17418,15502,13257,12476,10789,9776,9016,7332,6502,5936,,,,,,,,,
辽宁省,28997,28091,26200,24727,23658,21857,20546,19452,17623,16337,15635,,,,,,,,,
吉林省,16887,15344,14362,13305,13243,11174,10279,9415,8833,8452,7166,,,,,,,,,
黑龙江省,18359,17899,16252,15296,13569,12720,12453,12047,11685,11285,10731,,,,,,,,,
上海市,9964,9932,9717,9481,9299,8609,8744,8363,21490,20942,19795,,,,,,,,,
江苏省,71151,66970,62438,58405,53723,50075,47330,44595,41623,40829,35596,,,,,,,,,
浙江省,37323,35633,33575,31998,30381,28244,26736,25534,24040,21774,18777,,,,,,,,,
安徽省,29124,27070,24693,22722,19927,17974,16276,15072,13511,13454,12109,,,,,,,,,
福建省,15436,14799,15183,13908,12560,11959,10919,9947,8456,7703,6802,,,,,,,,,
江西省,15578,14652,13630,12329,11330,9362,8296,7670,7266,6667,6072,,,,,,,,,
山东省,78308,74646,71390,66123,60615,55756,51755,49677,46232,42605,40083,,,,,,,,,
河南省,28017,26843,25458,23393,21768,20535,19689,18777,17728,15653,13829,,,,,,,,,
湖北省,31145,29180,28755,26341,24599,23298,21395,19884,18939,20525,19959,,,,,,,,,
湖南省,20062,19735,18902,18234,15972,14967,13684,12740,11063,9936,8788,,,,,,,,,
广东省,67446,64864,62787,59215,55869,54810,51049,48702,47572,43696,38856,,,,,,,,,
广西壮族自治区,15614,14631,13662,13029,12118,11007,9885,9152,8599,8123,7273,,,,,,,,,
海南省,4747,4608,4504,4133,3152,2816,2718,2606,2551,2353,2234,,,,,,,,,
重庆市,14528,12723,11936,10870,9931,8953,8353,7802,6779,5605,5206,,,,,,,,,
四川省,26264,24700,22628,20258,18743,17293,15821,14858,14146,15266,14015,,,,,,,,,
贵州省,6531,5967,4103,3884,3604,3356,3268,3238,2884,2960,2623,,,,,,,,,
云南省,14182,9906,10297,9507,7983,6595,7448,5515,4533,3837,3393,,,,,,,,,
西藏自治区,970,814,793,658,596,619,618,560,541,529,429,,,,,,,,,
陕西省,13557,12698,12137,10966,10537,9995,9588,8969,7458,6457,5527,,,,,,,,,
甘肃省,8758,7958,7093,6913,6599,6018,5490,5090,5980,4972,4813,,,,,,,,,
青海省,1835,1785,1529,1430,1357,1286,1173,1058,1010,936,889,,,,,,,,,
宁夏回族自治区,6332,4964,4619,4238,3889,3627,3167,3484,3106,2626,2318,,,,,,,,,
新疆维吾尔自治区,11917,11086,9517,8964,8323,7715,7359,6954,6500,5984,5532,,,,,,,,,
数据来源：国家统计局
