数据库：分省年度数据
指标：城市道路照明灯(盏)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,248695,241717,236963,235722,,293455,293455,286202,273000,268703,256032,,,,,,,,,
天津市,309857,293858,282067,246146,267345,186059,161567,217626,216000,175696,181072,,,,,,,,,
河北省,624580,672745,646138,664335,633857,559463,524601,469045,410000,373206,321439,,,,,,,,,
山西省,436661,467030,459630,445848,372867,360118,335507,295601,338000,316190,259914,,,,,,,,,
内蒙古自治区,746490,855053,753481,608935,597711,540543,478952,447472,474000,431672,376329,,,,,,,,,
辽宁省,1562238,1557723,1487208,1446169,1380002,1337401,1270649,947265,804000,785639,664359,,,,,,,,,
吉林省,500674,611907,604010,562901,436501,405115,348936,328540,279000,245129,213881,,,,,,,,,
黑龙江省,622181,585515,559554,520707,526871,533627,516062,503515,555000,483313,428561,,,,,,,,,
上海市,523776,509757,497604,471186,469856,401767,372369,344595,317000,301285,267442,,,,,,,,,
江苏省,3198359,2876578,2727053,2330539,2174279,1981785,1659926,1699402,1501000,1295670,1169011,,,,,,,,,
浙江省,1392080,1343167,1255868,1190250,1048144,996628,909998,868549,815000,727278,642965,,,,,,,,,
安徽省,809764,766222,722017,659485,548635,498317,413084,367809,327000,293524,264264,,,,,,,,,
福建省,689595,650219,618846,456721,430637,403589,381739,351897,330000,323697,290098,,,,,,,,,
江西省,602316,574140,467213,502279,623361,460550,370975,315651,271000,361519,324801,,,,,,,,,
山东省,1789706,1687459,1629070,1445771,1339298,1280664,1127984,1019424,920000,821555,662650,,,,,,,,,
河南省,825471,796140,769427,693182,729534,703664,596990,586521,591000,477873,397351,,,,,,,,,
湖北省,641678,562346,383132,448741,433101,452660,424769,392670,384000,332619,303367,,,,,,,,,
湖南省,642846,621697,574828,529743,432349,422791,385326,321089,318000,295972,255498,,,,,,,,,
广东省,2123950,1927308,1858370,2266604,1854142,1617792,1487730,1358686,1201000,1272744,1108886,,,,,,,,,
广西壮族自治区,590652,592120,564069,491914,464075,450148,419507,400807,392000,391972,332056,,,,,,,,,
海南省,168967,165174,162796,156771,127801,124780,118295,114891,109000,95400,83849,,,,,,,,,
重庆市,449583,324720,305758,267599,243524,480080,239871,199711,209000,188977,179468,,,,,,,,,
四川省,929417,881766,836531,750825,686860,663422,611859,579685,595000,711435,642540,,,,,,,,,
贵州省,401338,367663,271026,251437,203762,205159,181528,169922,174000,136740,100437,,,,,,,,,
云南省,413222,386760,352667,320544,318498,252943,243018,231799,157000,183147,162611,,,,,,,,,
西藏自治区,28762,19772,20414,18729,10360,23651,23268,22763,16000,13006,11085,,,,,,,,,
陕西省,622187,604187,585751,552852,517022,495251,477524,446678,306000,225373,156488,,,,,,,,,
甘肃省,265456,243035,225814,216031,188064,175185,154117,138874,142000,126258,118703,,,,,,,,,
青海省,115779,113846,103369,99938,68800,67450,65263,64238,63000,29316,22856,,,,,,,,,
宁夏回族自治区,227011,211505,249296,216548,212494,209338,173308,157792,157000,134971,118508,,,,,,,,,
新疆维吾尔自治区,515853,484343,412278,423624,400139,359381,336159,300802,192000,250316,215017,,,,,,,,,
数据来源：国家统计局
