数据库：分省年度数据
指标：公共汽电车运营数(辆)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,23667,23592,22146,21628,21548,21716,21507,19395,19522,20345,20819,,,,,,,,,
天津市,11144,9670,8405,7628,7121,7862,7886,7489,7401,6768,6331,,,,,,,,,
河北省,15977,17498,16493,15503,14630,13531,14331,13407,12048,10429,9893,,,,,,,,,
山西省,8301,8957,7851,7226,6609,6655,6231,5982,5646,4565,4171,,,,,,,,,
内蒙古自治区,6836,6721,5586,5646,5771,5558,5343,4611,4124,3594,3314,,,,,,,,,
辽宁省,21386,20929,20500,20160,19416,18855,19490,18748,17907,17548,16969,,,,,,,,,
吉林省,11343,10873,10532,10273,10203,10047,9713,9052,8677,8246,8340,,,,,,,,,
黑龙江省,15640,15525,14364,14241,13567,13401,12746,12460,12061,10648,9976,,,,,,,,,
上海市,16155,16717,16695,16589,17455,16272,16573,16944,17284,17985,18186,,,,,,,,,
江苏省,34745,32710,30380,29205,27195,28176,25369,23874,22002,22197,19079,,,,,,,,,
浙江省,26532,25230,22892,21927,21589,22135,21836,18712,17173,15981,15115,,,,,,,,,
安徽省,13915,13023,11992,11035,9626,9712,10240,9521,8557,8880,8323,,,,,,,,,
福建省,13426,12414,11823,11203,10306,10106,9084,8812,8125,7929,6959,,,,,,,,,
江西省,7307,7733,7852,7297,6266,6358,6605,6176,5771,5818,5161,,,,,,,,,
山东省,34138,35031,32869,31230,27752,25272,30286,29265,25916,23455,18027,,,,,,,,,
河南省,20267,18770,18137,17601,16096,15735,15661,13546,12876,13213,12272,,,,,,,,,
湖北省,17671,17134,16670,16458,16428,16508,17866,17132,15994,17775,17330,,,,,,,,,
湖南省,15649,14010,13148,12600,12344,11736,11567,11135,9782,9611,9344,,,,,,,,,
广东省,53866,52189,50729,49532,40509,38328,37548,34429,23145,28683,16737,,,,,,,,,
广西壮族自治区,7774,7611,7430,7208,6839,6933,6274,5785,5477,5239,4748,,,,,,,,,
海南省,2879,2670,2614,2356,1964,1676,1549,1331,1351,1322,1163,,,,,,,,,
重庆市,10881,10680,7982,7822,7552,7046,8667,8411,7907,7267,6778,,,,,,,,,
四川省,22407,21815,19388,17597,15186,14583,14184,12280,11459,10578,9792,,,,,,,,,
贵州省,5834,5454,5031,4879,4584,4439,4690,4670,3274,5006,5038,,,,,,,,,
云南省,9100,8533,8187,7531,7135,6286,6717,6413,5931,5547,4946,,,,,,,,,
西藏自治区,451,382,396,366,940,751,784,814,680,1040,1249,,,,,,,,,
陕西省,11365,11468,10840,10608,9953,9103,8666,8435,7840,6908,6302,,,,,,,,,
甘肃省,5488,5359,5214,4965,4382,4172,4048,3578,3362,3515,3089,,,,,,,,,
青海省,2113,2083,2067,2038,2175,1994,1899,1937,2000,1839,1559,,,,,,,,,
宁夏回族自治区,3296,3192,3042,2570,2382,2133,1889,1633,1698,1448,1172,,,,,,,,,
新疆维吾尔自治区,9402,8631,8155,7723,7353,8082,8043,8512,7822,7553,7438,,,,,,,,,
数据来源：国家统计局
