数据库：分省年度数据
指标：15岁及以上女性未婚人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1880,1970,1828,1909,,1298,1249,1518,1463,18410,1351,1228,1091,,,,,,,
天津市,1070,1037,1019,1232,,918,770,813,803,11739,712,738,674,,,,,,,
河北省,3072,3346,3614,3744,,3532,4213,4253,4554,66866,4898,5071,4726,,,,,,,
山西省,2571,2184,2420,2373,,2043,2158,2117,2161,26437,2135,1877,1946,,,,,,,
内蒙古自治区,1188,1201,1450,1891,,1262,1269,1362,1390,17367,1450,1383,1340,,,,,,,
辽宁省,2405,3120,3488,2417,,2423,2353,2400,2425,31942,2773,2689,2682,,,,,,,
吉林省,1173,1234,1767,1408,,1352,1566,1520,1663,23105,2289,2205,2059,,,,,,,
黑龙江省,2227,1861,1804,2267,,1837,1847,1920,2024,28007,2559,2442,2521,,,,,,,
上海市,1407,1512,1668,1736,,1295,1388,1330,1339,20283,1205,1188,1305,,,,,,,
江苏省,3894,4330,4957,5143,,3852,4712,4520,4202,58140,3839,3556,3391,,,,,,,
浙江省,3151,4127,4191,4680,,2841,2726,2607,2891,37871,2699,2529,2513,,,,,,,
安徽省,4114,3609,2939,3204,,3132,3094,3421,3435,44325,3554,3934,3548,,,,,,,
福建省,1756,1847,2167,3450,,1912,2022,2352,2552,35012,2801,2426,2383,,,,,,,
江西省,2198,2609,2243,2309,,2184,2205,2078,1941,28545,2444,2359,2238,,,,,,,
山东省,4065,4032,4477,4932,,4861,5250,5454,5877,81817,5831,5772,6145,,,,,,,
河南省,5424,5319,5707,5664,,5575,5867,6012,5999,85099,6458,6036,6273,,,,,,,
湖北省,2773,3248,3460,3257,,3052,3536,3599,3202,42668,4168,3785,3132,,,,,,,
湖南省,3181,3326,3023,3343,,3301,3311,3460,3483,54377,4326,4253,4207,,,,,,,
广东省,7661,8284,8507,9217,,9439,8493,8884,8699,131802,6498,6105,6325,,,,,,,
广西壮族自治区,2487,2516,2713,2581,,2725,2586,2968,2902,40453,3874,3772,3671,,,,,,,
海南省,624,665,695,736,,582,557,599,588,8529,687,606,659,,,,,,,
重庆市,1543,1467,1496,1470,,1483,1298,1238,1356,15903,1209,1543,1441,,,,,,,
四川省,4569,4252,4110,4222,,3944,4155,3804,3682,48585,4238,4505,4164,,,,,,,
贵州省,2581,2270,1971,1811,,2074,2015,1953,1935,23555,2386,2275,2258,,,,,,,
云南省,2389,2104,2604,2882,,2179,2278,2467,2312,31210,2634,2381,2480,,,,,,,
西藏自治区,294,275,304,297,,279,303,296,282,4320,290,284,301,,,,,,,
陕西省,1974,2036,2364,2714,,2235,2156,2218,2306,30628,2416,2363,2224,,,,,,,
甘肃省,1518,1492,1596,1650,,1582,1593,1715,1643,21141,1662,1708,1539,,,,,,,
青海省,373,330,346,448,,299,313,302,287,4298,302,309,297,,,,,,,
宁夏回族自治区,380,367,375,380,,358,352,359,344,4560,362,372,346,,,,,,,
新疆维吾尔自治区,1188,1179,1151,1284,,1310,1342,1371,1311,17483,1355,1246,1314,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
