数据库：分省年度数据
指标：15岁及以上男性丧偶人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,127,128,132,157,,151,147,143,154,2003,173,150,161,,,,,,,
天津市,166,157,158,145,,146,154,145,129,1699,135,144,143,,,,,,,
河北省,801,851,836,828,,888,945,934,945,12259,956,920,856,,,,,,,
山西省,371,346,367,403,,400,372,386,351,5366,396,373,430,,,,,,,
内蒙古自治区,250,269,242,222,,283,291,310,293,3541,299,299,318,,,,,,,
辽宁省,551,523,565,600,,616,642,597,602,7578,551,519,585,,,,,,,
吉林省,361,364,281,383,,375,379,386,363,4753,359,354,341,,,,,,,
黑龙江省,458,434,497,470,,504,550,505,473,6434,504,440,495,,,,,,,
上海市,154,224,152,149,,195,196,209,204,2293,198,200,194,,,,,,,
江苏省,891,997,927,916,,1146,1189,1074,1088,14258,1221,1180,1066,,,,,,,
浙江省,447,453,466,499,,576,601,593,534,8133,576,639,650,,,,,,,
安徽省,670,763,774,810,,1004,972,971,938,13349,906,881,983,,,,,,,
福建省,287,298,320,351,,469,495,465,434,5773,456,403,404,,,,,,,
江西省,480,435,451,479,,454,474,467,512,7553,533,471,491,,,,,,,
山东省,1174,1301,1156,1239,,1199,1250,1312,1306,17841,1151,1172,1244,,,,,,,
河南省,1076,1212,1105,1251,,1341,1186,1203,1275,17633,1390,1376,1275,,,,,,,
湖北省,728,730,900,930,,974,1037,1057,987,12944,867,914,1056,,,,,,,
湖南省,832,940,966,895,,980,933,996,995,14118,1043,1087,1125,,,,,,,
广东省,782,785,734,729,,821,884,837,720,10204,819,825,793,,,,,,,
广西壮族自治区,555,552,532,573,,618,661,614,690,9133,695,699,713,,,,,,,
海南省,66,68,63,53,,81,80,78,77,1049,78,79,72,,,,,,,
重庆市,445,529,467,471,,506,528,553,518,7075,623,499,544,,,,,,,
四川省,1298,1269,1146,1348,,1397,1563,1617,1599,22127,1317,1442,1449,,,,,,,
贵州省,459,459,448,511,,523,560,536,566,7802,581,569,556,,,,,,,
云南省,555,575,511,560,,668,603,572,584,8176,657,776,586,,,,,,,
西藏自治区,41,39,38,37,,40,43,51,48,574,44,36,22,,,,,,,
陕西省,452,505,509,484,,611,594,606,588,7231,552,514,581,,,,,,,
甘肃省,322,356,333,361,,430,405,403,379,5080,350,386,381,,,,,,,
青海省,64,65,62,66,,68,72,75,64,870,68,62,73,,,,,,,
宁夏回族自治区,42,47,46,39,,50,50,48,50,664,42,47,43,,,,,,,
新疆维吾尔自治区,159,155,156,168,,182,188,183,169,2040,168,159,182,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
