数据库：分省年度数据
指标：总户数(人口抽样调查)(户)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,6827,6166,6368,6678,,5897,5659,5388,5309,73787,4750,4769,4391,,,,,,,
天津市,4705,4515,4227,4093,,3449,3347,3253,3264,46385,3181,3228,3243,,,,,,,
河北省,19013,19036,18597,18239,,18881,18935,19233,19296,272829,18933,19231,18861,,,,,,,
山西省,9701,9903,9759,9392,,9292,9239,9173,9142,131264,8926,8854,8954,,,,,,,
内蒙古自治区,7726,7521,7389,7591,,7386,7344,7441,7349,108157,7393,7381,7516,,,,,,,
辽宁省,13670,13106,13129,13691,,13398,13728,13479,13261,191306,13133,13376,13264,,,,,,,
吉林省,8325,8206,7955,8059,,7895,8170,8218,8204,114033,8076,8113,8079,,,,,,,
黑龙江省,11713,11554,11558,11535,,11815,12202,12038,11855,169716,11850,12010,11696,,,,,,,
上海市,8496,8377,8220,8294,,6475,6416,6281,6193,87861,5844,5702,5495,,,,,,,
江苏省,22121,22008,21659,22592,,22850,22728,23043,23070,337537,22941,22908,23122,,,,,,,
浙江省,17260,17034,16706,17425,,16205,16168,16015,15929,235033,15242,15662,15462,,,,,,,
安徽省,16057,16155,16335,16880,,17966,18178,18460,18302,267231,18612,18217,17887,,,,,,,
福建省,11652,11340,10887,11010,,10806,10592,10445,10384,156154,10496,10333,10369,,,,,,,
江西省,10984,10730,10858,10972,,10776,11233,11688,11885,173456,11807,12053,11486,,,,,,,
山东省,28391,28638,27700,28335,,28104,28672,29049,28997,420932,29225,29112,28734,,,,,,,
河南省,23089,23644,23092,22882,,25172,25046,25413,25781,363015,26813,26966,26338,,,,,,,
湖北省,15806,15907,15422,15736,,16531,16672,16802,17021,244772,17232,17796,17942,,,,,,,
湖南省,17398,16935,17996,18336,,17273,17829,18413,18906,265433,19006,18981,19021,,,,,,,
广东省,27311,27050,26421,26340,,25426,25045,24792,24645,345573,19991,20105,20319,,,,,,,
广西壮族自治区,12191,11809,11746,12450,,12022,12184,12082,12240,182241,12464,12858,12878,,,,,,,
海南省,2049,2060,2003,2102,,2019,2038,1992,1955,28422,1900,1983,1860,,,,,,,
重庆市,8952,9071,9081,8787,,9136,8852,8883,8712,130399,10477,8954,9165,,,,,,,
四川省,24765,24136,22925,23453,,24042,24279,24827,25558,368516,25380,25825,26219,,,,,,,
贵州省,9075,9296,9288,9236,,9335,9465,9763,9717,142854,10350,10372,10286,,,,,,,
云南省,11638,11739,11746,11701,,11327,11277,11279,11366,163945,11486,10866,11187,,,,,,,
西藏自治区,642,636,630,611,,543,560,550,530,7282,549,538,616,,,,,,,
陕西省,10124,10203,10107,9983,,10557,10616,10654,10625,151049,9956,10166,9965,,,,,,,
甘肃省,6257,6280,6593,6679,,6541,6594,6496,6489,93512,6468,6412,6427,,,,,,,
青海省,1496,1414,1408,1372,,1379,1365,1381,1377,19566,1346,1335,1256,,,,,,,
宁夏回族自治区,1710,1684,1600,1622,,1582,1549,1525,1509,22075,1542,1515,1484,,,,,,,
新疆维吾尔自治区,5924,5634,5900,5901,,5436,5387,5332,5180,76677,5414,5298,5648,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
