数据库：分省年度数据
指标：城市人工煤气用气人口(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,21.90,28.00,26.00,63.00,61.60,82.94,109.81,132.34,174.46,191.70,
天津市,,,,,,,,,,96.48,98.46,96.34,90.00,76.99,72.62,72.20,84.77,138.30,136.20,
河北省,172.66,180.94,187.62,185.15,179.59,191.55,200.86,399.01,415.93,400.89,378.47,360.54,360.00,320.29,278.73,250.99,228.01,210.65,193.64,
山西省,85.24,101.81,236.56,244.46,238.09,281.97,309.29,398.76,412.33,394.66,395.95,370.12,352.00,321.27,295.07,277.40,245.98,268.94,266.56,
内蒙古自治区,41.20,40.20,46.16,49.00,51.94,63.18,65.71,81.21,79.00,92.93,88.91,74.14,92.00,82.64,77.93,67.80,63.56,60.25,53.16,
辽宁省,591.30,573.58,556.66,573.62,542.44,523.72,503.31,486.63,474.09,531.48,474.71,541.60,512.00,411.48,422.10,423.52,407.54,374.58,355.11,
吉林省,117.19,178.96,188.49,167.94,164.57,166.60,161.93,150.90,159.37,169.15,154.20,158.60,151.00,146.50,149.88,158.26,157.40,144.32,136.47,
黑龙江省,94.19,89.49,80.90,80.70,74.41,85.14,238.44,338.14,301.25,289.35,274.59,255.95,232.00,235.88,211.03,198.28,182.84,166.39,152.77,
上海市,34.98,112.35,197.73,274.80,357.71,351.33,446.39,576.13,621.59,662.31,719.40,592.52,602.00,605.09,449.95,561.70,554.55,633.10,579.60,
江苏省,9.00,9.00,27.50,45.82,89.75,135.46,123.15,146.11,177.05,234.10,333.80,405.79,361.00,373.24,324.65,323.88,271.07,244.10,229.52,
浙江省,4.30,4.30,4.30,4.30,4.55,30.42,39.07,33.45,28.89,83.31,110.82,156.52,82.00,87.06,47.77,44.74,42.04,50.18,43.51,
安徽省,,,,,,14.43,17.08,45.23,68.77,66.96,129.25,203.05,198.00,185.39,168.76,166.61,159.20,148.67,133.78,
福建省,21.37,19.91,19.41,16.06,14.71,13.93,13.65,18.44,12.70,11.20,9.26,8.94,8.00,7.81,21.21,11.39,24.09,25.64,22.13,
江西省,18.41,32.16,80.30,94.50,149.78,145.74,133.54,127.05,115.06,130.63,154.98,138.73,135.00,128.94,125.38,116.68,113.51,107.89,99.13,
山东省,18.47,27.99,88.33,139.83,159.26,156.46,209.94,282.00,337.08,356.45,396.82,421.95,381.00,394.31,335.43,328.43,300.25,278.62,255.62,
河南省,28.76,43.14,120.51,154.48,164.55,179.80,173.95,152.62,149.48,142.37,142.27,139.34,129.00,108.21,136.31,106.60,105.87,86.43,74.19,
湖北省,,,12.38,35.30,41.16,48.50,50.41,58.23,30.85,22.29,140.74,137.22,140.00,189.19,180.08,178.83,152.45,138.84,128.93,
湖南省,31.95,31.95,30.70,21.40,33.30,39.30,35.32,42.31,29.50,74.60,102.24,100.53,91.00,81.21,81.29,72.82,66.90,60.70,58.15,
广东省,,,,,17.92,25.44,139.17,214.54,202.20,162.91,155.61,246.81,196.00,175.40,150.07,139.55,135.77,125.74,115.14,
广西壮族自治区,47.36,46.83,45.63,45.08,42.53,41.52,45.71,25.14,25.75,24.88,23.88,23.17,17.00,16.68,14.51,14.43,14.21,12.94,15.25,
海南省,,,,,,,,,,,,,,,16.65,,16.65,16.65,,
重庆市,,,,,,,,,,,,1.80,2.00,1.00,0.50,0.16,,,,
四川省,50.31,50.04,48.66,42.55,40.89,39.55,37.55,34.39,33.04,32.49,31.85,31.52,32.00,30.97,30.08,29.29,29.62,29.06,28.32,
贵州省,127.50,126.60,176.05,207.69,166.76,161.33,156.15,145.11,133.80,124.78,110.50,100.32,99.00,81.26,73.35,64.29,64.50,48.50,39.30,
云南省,239.09,247.68,265.22,267.35,232.80,234.80,227.05,219.70,223.20,177.28,127.10,144.28,146.00,146.28,99.60,89.56,84.89,83.30,80.90,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,27.40,29.80,15.20,34.00,45.90,32.67,44.28,41.77,40.82,40.93,
甘肃省,15.49,17.82,18.57,15.40,20.27,21.73,23.32,28.66,21.63,24.00,26.34,24.75,19.00,19.76,70.24,55.01,55.01,54.51,49.92,
青海省,,,,,,,,,,,,,,,2.50,2.50,2.50,2.50,2.50,
宁夏回族自治区,3.24,3.24,3.60,4.70,6.21,12.90,12.62,11.82,8.10,8.75,10.87,10.49,10.00,9.74,9.80,9.31,8.97,8.97,7.57,
新疆维吾尔自治区,5.00,5.00,7.00,6.20,8.75,6.20,6.00,6.18,5.95,5.00,5.00,5.86,6.00,5.00,,,,,,
数据来源：国家统计局
