数据库：分省年度数据
指标：人工煤气管道长度(公里)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,115,194,,,,,,,,,
天津市,,,,,,,,,2,1461,1432,,,,,,,,,
河北省,3145,3216,3224,3566,3536,3509,2664,3648,3968,3606,3400,,,,,,,,,
山西省,3952,4355,4713,4787,4418,4694,4816,4246,3838,3483,3517,,,,,,,,,
内蒙古自治区,507,507,507,507,325,470,461,703,1024,1008,994,,,,,,,,,
辽宁省,5835,5567,5465,5580,5476,5081,5033,4828,4702,4897,4535,,,,,,,,,
吉林省,1881,1858,1814,1723,1759,2296,2358,2293,2208,2138,2075,,,,,,,,,
黑龙江省,783,772,709,625,594,669,1780,2605,2596,2434,2409,,,,,,,,,
上海市,2109,2962,3596,4710,5517,6156,7086,8097,8778,8469,8245,,,,,,,,,
江苏省,270,270,768,1673,2450,2352,2569,2760,3836,5320,5620,,,,,,,,,
浙江省,112,112,112,112,114,193,829,733,710,1140,2694,,,,,,,,,
安徽省,,,,,,282,213,558,605,644,1915,,,,,,,,,
福建省,321,310,305,293,275,255,231,265,196,228,273,,,,,,,,,
江西省,1059,1180,1755,1511,2120,2073,2118,1911,1902,1589,1886,,,,,,,,,
山东省,361,345,1429,1694,2097,2175,3555,4452,5482,5743,5563,,,,,,,,,
河南省,573,1051,1394,1781,1806,1731,1671,1816,1770,1221,1597,,,,,,,,,
湖北省,,,275,1154,626,660,641,705,328,158,2265,,,,,,,,,
湖南省,440,440,425,412,512,515,481,452,274,695,1590,,,,,,,,,
广东省,,,8,8,272,590,2020,2099,2483,2148,1863,,,,,,,,,
广西壮族自治区,463,450,425,416,409,387,595,514,455,440,318,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,601,564,550,532,514,509,479,469,453,442,423,,,,,,,,,
贵州省,2954,2948,2903,2742,2830,2784,2694,2627,2465,1931,1549,,,,,,,,,
云南省,3164,3048,2656,2605,2323,2159,1986,1856,1675,1493,1351,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,18,21,,,,,,,,,
甘肃省,400,400,393,393,618,614,580,570,560,188,316,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,42,42,42,207,215,160,180,320,125,314,314,,,,,,,,,
新疆维吾尔自治区,71,71,71,71,71,134,132,100,90,80,63,,,,,,,,,
数据来源：国家统计局
