数据库：分省年度数据
指标：6岁及6岁以上大专及以上人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,6420,6859,6143,5597,,4433,3986,4213,4042,48001,3289,2758,2713,,,,,,,
天津市,2727,2670,2553,2313,,1713,1501,1498,1415,18601,1356,1037,1006,,,,,,,
河北省,4447,4307,3232,3045,,3233,2818,2454,2340,40036,3658,4138,2933,,,,,,,
山西省,2799,3013,2707,2347,,2198,2092,2105,1949,23197,1592,1634,1398,,,,,,,
内蒙古自治区,2126,1966,2364,2532,,1619,1539,1560,1367,23660,1461,1214,1255,,,,,,,
辽宁省,6013,6924,6519,4500,,4371,4128,3765,3601,44404,3261,3561,2189,,,,,,,
吉林省,2578,2509,1955,2031,,1913,1793,1790,1690,22832,1737,1642,1657,,,,,,,
黑龙江省,3744,3708,3093,2945,,2131,1980,2151,2074,30888,1666,1762,1752,,,,,,,
上海市,5156,4703,4392,4063,,3855,3707,3457,3496,40549,3001,2617,2331,,,,,,,
江苏省,8796,8462,8373,7651,,4995,4621,5355,4794,63909,3393,3454,2656,,,,,,,
浙江省,6510,7464,6473,5547,,4335,4148,3727,3631,33115,3226,2679,2496,,,,,,,
安徽省,4862,4186,4721,3218,,2360,2063,2054,2499,29007,2604,2894,1554,,,,,,,
福建省,3366,2554,2262,3583,,2918,1774,1741,1793,21877,1461,1504,1350,,,,,,,
江西省,2801,3228,2846,2536,,2447,2309,2638,1719,19946,1798,2421,1112,,,,,,,
山东省,7415,7445,7367,6885,,4728,4369,4652,4630,50909,4571,4601,4759,,,,,,,
河南省,7380,5757,4798,5612,,4006,3703,3237,3331,48450,3881,2829,3787,,,,,,,
湖北省,5107,5304,5514,5181,,3662,3965,4057,3885,36287,3228,3063,2174,,,,,,,
湖南省,4725,4343,3749,4114,,3254,3519,3384,2777,34917,3179,2881,2670,,,,,,,
广东省,7693,6665,8027,8852,,5512,5667,5207,4589,66510,3760,3645,3693,,,,,,,
广西壮族自治区,2855,2732,2281,3172,,1613,1308,1606,1820,22556,2291,2000,1535,,,,,,,
海南省,555,593,694,526,,482,407,447,386,5524,383,426,261,,,,,,,
重庆市,2991,2162,2299,2696,,1300,1019,918,1102,16122,1042,1045,965,,,,,,,
四川省,5706,6597,6258,5338,,3844,3038,2901,3239,35297,2891,3004,2992,,,,,,,
贵州省,2763,2419,1749,2232,,1035,1108,1026,866,14897,1550,1831,1202,,,,,,,
云南省,2454,2763,2438,2558,,1152,1334,1540,1184,18117,1504,712,766,,,,,,,
西藏自治区,61,55,99,117,,40,41,29,25,293,23,20,19,,,,,,,
陕西省,3217,3463,3150,3050,,2885,2802,2525,2445,28734,2468,2192,1354,,,,,,,
甘肃省,2061,1788,1790,1816,,1053,999,864,746,13637,1351,1062,727,,,,,,,
青海省,567,553,423,405,,403,347,331,278,4682,216,242,149,,,,,,,
宁夏回族自治区,540,559,452,452,,425,390,380,370,4895,370,284,287,,,,,,,
新疆维吾尔自治区,2263,2174,2272,2433,,1658,1699,1567,1498,21340,1733,1726,1800,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
