数据库：分省年度数据
指标：6岁及6岁以上小学人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1772,1692,1627,1742,,1878,1898,1850,1887,28028,2003,2001,1967,,,,,,,
天津市,1962,1894,1885,1837,,1759,1794,1789,1984,28890,1916,2149,2205,,,,,,,
河北省,14382,13798,13858,14771,,16223,17335,17772,18523,254380,18221,18837,21535,,,,,,,
山西省,6185,6385,6039,6518,,7052,7429,7743,7946,124513,8904,9108,9551,,,,,,,
内蒙古自治区,5046,4918,4794,5082,,5577,5945,6249,6324,83456,6588,6815,6604,,,,,,,
辽宁省,6759,6401,7069,7869,,8485,9538,9818,9816,145201,10123,10161,11804,,,,,,,
吉林省,5171,5046,5340,6163,,6028,5988,6576,6935,104191,7322,7695,8218,,,,,,,
黑龙江省,6968,6674,7476,7505,,8081,8835,8995,10011,138865,9984,10424,11188,,,,,,,
上海市,2519,2654,2403,2633,,2166,2299,2326,2251,36037,2429,2112,2707,,,,,,,
江苏省,14189,14527,14701,15096,,17778,18053,18943,19809,270481,20688,21505,22186,,,,,,,
浙江省,12175,11329,11640,12682,,14001,14405,14599,14588,218873,12966,14520,14801,,,,,,,
安徽省,12497,13022,13071,13720,,15505,16690,16923,17313,254019,19633,19469,21554,,,,,,,
福建省,8745,8746,9231,9413,,10092,11161,11328,11445,159882,11322,11770,12453,,,,,,,
江西省,10003,9105,10233,10562,,11817,13056,13306,14951,209474,13694,12776,15943,,,,,,,
山东省,17650,18912,19465,19602,,21705,22367,22941,24377,331391,22840,23462,23533,,,,,,,
河南省,18146,18142,17865,19191,,19769,19928,21676,22770,327316,25153,26922,26000,,,,,,,
湖北省,11160,10067,10585,11150,,13274,14376,14433,15311,227281,16702,18440,22120,,,,,,,
湖南省,14146,14311,15225,14722,,16228,17181,17783,19157,262644,20545,21357,22892,,,,,,,
广东省,18495,18284,18921,19618,,22200,23203,23909,25865,372059,26596,27565,26408,,,,,,,
广西壮族自治区,10547,11385,12085,11836,,13612,14055,14229,14696,224461,15622,17143,17458,,,,,,,
海南省,1420,1319,1518,1563,,1859,1867,1996,2045,31312,2136,2377,2513,,,,,,,
重庆市,7385,7595,7865,7869,,9303,9424,9846,10345,147268,12701,11818,12202,,,,,,,
四川省,21926,22277,20810,22847,,27099,28278,29681,31263,439004,31767,32491,31607,,,,,,,
贵州省,8758,8982,9841,10837,,13391,13495,14127,14169,200332,14488,14108,14583,,,,,,,
云南省,14943,14753,14876,15759,,17080,18386,18081,17830,255810,17888,20218,17727,,,,,,,
西藏自治区,844,915,1001,1032,,1052,1131,1164,1039,14164,1146,993,1122,,,,,,,
陕西省,6663,6615,6841,7339,,8917,9264,9414,9837,145308,10222,10443,12133,,,,,,,
甘肃省,6573,6747,6796,6885,,7697,7901,7765,7867,118587,8307,8589,9142,,,,,,,
青海省,1514,1532,1613,1699,,1874,1877,1784,1754,22575,1710,1683,1796,,,,,,,
宁夏回族自治区,1515,1427,1644,1546,,1558,1673,1679,1719,24015,1743,1815,1714,,,,,,,
新疆维吾尔自治区,4799,5205,5362,5147,,5875,6039,6149,6187,85226,6012,6354,6523,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
