数据库：分省年度数据
指标：6岁及6岁以上高中男性人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1957,1722,1830,1845,,1696,1720,1593,1550,24764,1612,1726,1606,,,,,,,
天津市,1382,1255,1250,1293,,1261,1196,1134,1076,14085,1127,1114,1068,,,,,,,
河北省,4505,4612,4427,5015,,3717,4004,3869,3846,56313,4479,4666,4037,,,,,,,
山西省,2674,2623,3159,2977,,2518,2416,2393,2394,29927,1928,2178,2084,,,,,,,
内蒙古自治区,1717,1838,1843,1843,,1665,1599,1728,1722,24899,1806,1683,1832,,,,,,,
辽宁省,3026,2992,2668,3034,,2728,2805,2890,2989,38466,2821,3234,2795,,,,,,,
吉林省,2156,2121,2143,2163,,2044,2215,2070,2166,27773,2192,2184,2268,,,,,,,
黑龙江省,2537,2783,2613,2486,,2634,2872,2771,2744,37978,2665,2738,2957,,,,,,,
上海市,2137,2065,2202,2353,,2127,2145,2170,2156,29845,2295,2383,1980,,,,,,,
江苏省,6188,6342,6330,6530,,5650,5817,5730,5706,78597,5604,5813,5470,,,,,,,
浙江省,3389,3611,4211,3389,,3202,3100,3095,3063,41981,3433,3237,3131,,,,,,,
安徽省,3855,3520,3352,3367,,3252,3151,2981,3015,41464,3712,4089,2755,,,,,,,
福建省,2616,2543,2524,2320,,2236,2353,2480,2264,31282,2486,2580,2609,,,,,,,
江西省,3604,4490,3660,3662,,3523,3132,3070,2554,34228,3280,3668,2734,,,,,,,
山东省,8108,7246,6563,6666,,6201,6786,6387,6204,84947,6545,6498,7077,,,,,,,
河南省,6280,5873,6081,6844,,5880,6049,6058,5324,74911,6612,6215,6050,,,,,,,
湖北省,4980,5478,4742,4536,,4395,4454,4538,4406,57200,4963,4509,4073,,,,,,,
湖南省,5079,5206,4960,5092,,4433,4615,4694,4293,62003,4751,5270,4488,,,,,,,
广东省,10511,9648,9927,9934,,8346,8108,7977,7249,104690,6083,5792,6072,,,,,,,
广西壮族自治区,3126,2612,2458,2772,,2540,2540,2597,2845,33616,3090,2864,2831,,,,,,,
海南省,862,787,690,661,,612,646,659,614,9299,765,749,681,,,,,,,
重庆市,2260,2049,1796,1935,,1401,1437,1496,1404,19413,1499,1710,1602,,,,,,,
四川省,4777,4533,4543,4186,,4018,3938,3895,3663,43785,4631,4742,4572,,,,,,,
贵州省,1603,1677,1577,1120,,1291,1393,1366,1187,17874,1556,1665,1493,,,,,,,
云南省,1932,1896,2198,1796,,1557,1428,1439,1388,19043,1559,1136,1347,,,,,,,
西藏自治区,49,53,58,69,,49,38,38,30,362,32,33,37,,,,,,,
陕西省,3436,2940,3108,2841,,2617,2796,2890,2783,36551,3008,3237,2505,,,,,,,
甘肃省,1484,1624,1770,1767,,1541,1502,1673,1583,21514,1833,1797,1665,,,,,,,
青海省,285,273,278,284,,258,261,280,269,3838,299,284,236,,,,,,,
宁夏回族自治区,397,420,355,406,,374,363,357,344,4739,382,370,345,,,,,,,
新疆维吾尔自治区,1349,1138,1171,1341,,1060,1032,1070,1035,15574,1232,1125,1381,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
