数据库：分省年度数据
指标：人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,17757,17454,17266,17246,,15096,14813,14554,14294,203582,14213,14070,13723,,,,,,,
天津市,12517,12150,11791,11577,,10473,10114,9896,9694,138060,9868,9956,9961,,,,,,,
河北省,60936,60517,60806,61861,,62243,62981,63501,63675,906856,66078,66569,66463,,,,,,,
山西省,30107,29957,30128,30698,,30378,30779,31069,31182,444096,32352,32558,32455,,,,,,,
内蒙古自治区,20671,20613,20775,21203,,21499,21816,22066,22180,315884,23233,23510,23586,,,,,,,
辽宁省,36236,36231,36621,37447,,38429,38988,39317,39231,558727,41100,41549,41608,,,,,,,
吉林省,22715,22707,22949,23490,,24349,24764,25067,25243,359512,26397,26684,26693,,,,,,,
黑龙江省,31632,31651,31990,32757,,34065,34688,35193,35504,505647,37241,37693,37806,,,,,,,
上海市,20019,19932,19862,20056,,16814,16854,16708,16525,235351,16702,16061,16012,,,,,,,
江苏省,65692,65526,66083,67485,,68371,69168,69503,69474,989454,72295,72967,72966,,,,,,,
浙江省,45456,45376,45700,46674,,45472,45900,45844,45523,648340,45682,45934,45769,,,,,,,
安徽省,50201,49765,49963,50989,,54638,55498,56247,56880,810095,62575,62652,62783,,,,,,,
福建省,31409,31148,31273,31783,,32097,32484,32754,32855,467922,34048,34261,34127,,,,,,,
江西省,37486,37321,37580,38348,,39186,39623,39945,40069,570672,41524,41741,41521,,,,,,,
山东省,80788,80331,80810,82336,,83867,84970,85696,85953,1224142,89072,89775,89699,,,,,,,
河南省,77873,77688,78483,80208,,83974,84906,86460,87180,1241616,94372,95029,94793,,,,,,,
湖北省,47997,47860,48219,49190,,50862,51697,52408,53070,755824,58510,59184,59270,,,,,,,
湖南省,55600,55219,55394,56351,,56820,57648,58382,58795,837363,65041,65521,65434,,,,,,,
广东省,88503,87847,88395,89750,,84981,85714,85649,85451,1217005,77645,77676,77216,,,,,,,
广西壮族自治区,39232,38947,39066,39686,,42891,43252,43442,43311,616837,47408,47661,47504,,,,,,,
海南省,7456,7389,7397,7496,,7606,7665,7696,7696,109601,7916,7939,7892,,,,,,,
重庆市,24687,24512,24573,24939,,25284,25545,25850,26005,370367,30553,30713,30724,,,,,,,
四川省,67179,66904,67386,68777,,72471,73722,75201,76324,1087009,84919,85739,85704,,,,,,,
贵州省,28950,28905,29071,29636,,33780,34126,34587,34666,493715,37780,37933,37686,,,,,,,
云南省,38902,38680,38874,39564,,40460,40947,41269,41359,589039,42720,42836,42529,,,,,,,
西藏自治区,2620,2575,2567,2591,,2556,2576,2587,2574,36666,2636,2638,2609,,,,,,,
陕西省,31155,31063,31315,31976,,33504,33999,34383,34574,492410,36022,36314,36297,,,,,,,
甘肃省,21381,21311,21507,21908,,23405,23739,23990,24109,343364,25409,25628,25546,,,,,,,
青海省,4814,4769,4782,4854,,4934,5007,5045,5049,71903,5213,5225,5189,,,,,,,
宁夏回族自治区,5460,5399,5400,5463,,5504,5533,5560,5539,78892,5662,5650,5585,,,,,,,
新疆维吾尔自治区,18969,18688,18630,18871,,18979,19004,18872,18681,265815,18880,18834,19799,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
