数据库：分省年度数据
指标：住本乡、镇、街道，户口在外乡、镇、街道，离开户口登记地半年以上男性人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,5348,4644,4399,5000,,3542,,,,38568,,,,,,,,,,
天津市,1449,1420,1352,1532,,708,,,,14134,,,,,,,,,,
河北省,2662,2741,2247,3832,,1666,,,,31554,,,,,,,,,,
山西省,2614,3148,2711,2337,,1001,,,,18669,,,,,,,,,,
内蒙古自治区,2964,2892,3235,3139,,1276,,,,29780,,,,,,,,,,
辽宁省,3301,3633,4623,3736,,1287,,,,41457,,,,,,,,,,
吉林省,1612,1624,2009,2034,,666,,,,16827,,,,,,,,,,
黑龙江省,2583,2376,2088,2199,,1541,,,,23682,,,,,,,,,,
上海市,6532,6318,6649,7066,,2434,,,,47711,,,,,,,,,,
江苏省,7239,5965,6608,8125,,3914,,,,71882,,,,,,,,,,
浙江省,9819,9773,9398,8672,,3806,,,,74669,,,,,,,,,,
安徽省,3254,3045,4239,3391,,1248,,,,27249,,,,,,,,,,
福建省,6514,6039,5463,5717,,2938,,,,50939,,,,,,,,,,
江西省,1806,1896,1826,2629,,887,,,,19761,,,,,,,,,,
山东省,4408,4460,5234,4878,,1705,,,,51330,,,,,,,,,,
河南省,3044,3210,3948,5879,,728,,,,24181,,,,,,,,,,
湖北省,4248,4944,4146,3520,,1129,,,,30814,,,,,,,,,,
湖南省,3087,2489,2252,2865,,725,,,,29772,,,,,,,,,,
广东省,16042,16461,17137,15445,,11706,,,,178647,,,,,,,,,,
广西壮族自治区,2908,2426,2057,3044,,637,,,,18968,,,,,,,,,,
海南省,877,689,703,773,,280,,,,6725,,,,,,,,,,
重庆市,2994,2566,2298,2759,,852,,,,14574,,,,,,,,,,
四川省,4574,4942,7227,6103,,1962,,,,36316,,,,,,,,,,
贵州省,2194,2289,2141,2719,,766,,,,15760,,,,,,,,,,
云南省,1882,2520,3097,3036,,966,,,,23225,,,,,,,,,,
西藏自治区,18,86,6,112,,1,,,,742,,,,,,,,,,
陕西省,2031,2488,2297,2325,,930,,,,16131,,,,,,,,,,
甘肃省,906,1024,1268,1134,,211,,,,8311,,,,,,,,,,
青海省,427,377,422,484,,198,,,,3406,,,,,,,,,,
宁夏回族自治区,609,627,661,729,,239,,,,3691,,,,,,,,,,
新疆维吾尔自治区,1662,1832,1895,2120,,379,,,,14049,,,,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
