数据库：分省年度数据
指标：重大环境事件(次)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,,,,,,,,,,,,,,,,,,,,
山西省,,1,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,,,1,,,,,,,,,,,,,,,,,
吉林省,,,,,,,,,,,,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,1,,,,,,,,,,,,,,,,,,
山东省,,,,,,,,,,,,,,,,,,,,
河南省,,,,1,,,,,,,,,,,,,,,,
湖北省,2,,,,,,,,,,,,,,,,,,,
湖南省,,,1,,,,,,,,,,,,,,,,,
广东省,1,,1,3,,,,,,,,,,,,,,,,
广西壮族自治区,,1,1,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,,,,1,,,,,,,,,,,,,,,,
贵州省,,,1,1,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局
