数据库：分省年度数据
指标：男性人口数(人口抽样调查)(人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,8977,9047,8851,8796,,7705,7530,7243,7046,103122,7280,7242,7259,,,,,,,
天津市,6269,6040,5854,5754,,5298,4986,4956,4768,69308,4894,4914,4948,,,,,,,
河北省,31198,31069,31087,32083,,31671,32103,32330,32179,455500,33769,33965,33751,,,,,,,
山西省,15298,15381,15393,15718,,15503,15611,15829,15766,225294,16604,16677,16711,,,,,,,
内蒙古自治区,10533,10699,10613,10540,,11012,11185,11201,11310,161560,11941,12006,12128,,,,,,,
辽宁省,18363,18292,18359,18846,,19344,19583,19778,19811,280107,20614,20779,21004,,,,,,,
吉林省,11561,11696,11670,12002,,12465,12527,12697,12772,182545,13226,13387,13457,,,,,,,
黑龙江省,15829,16055,16283,16483,,17310,17540,17781,18034,255867,18908,19172,19367,,,,,,,
上海市,10334,10268,10349,10644,,8363,8435,8325,8209,118419,8208,8024,7873,,,,,,,
江苏省,33116,32754,32859,33888,,33718,33709,33967,33832,485494,35881,36113,36538,,,,,,,
浙江省,23808,23512,23361,22833,,22954,23358,23447,22972,328876,23141,23239,23210,,,,,,,
安徽省,24924,25383,26032,25834,,28195,28469,28463,28953,406651,32108,32243,32292,,,,,,,
福建省,16349,16165,15783,15680,,16048,16342,16463,16593,235254,17093,17516,17753,,,,,,,
江西省,19573,19423,19481,20190,,20050,20253,20425,20535,290449,21387,21396,21372,,,,,,,
山东省,40923,40928,40832,41319,,42411,42513,43033,43164,611975,44684,44983,45371,,,,,,,
河南省,39385,39055,39680,41614,,42511,42929,44047,44191,630613,48565,49199,48290,,,,,,,
湖北省,24458,24322,24562,25274,,26070,26215,26640,26858,384490,29653,30286,30294,,,,,,,
湖南省,28516,28374,28577,28993,,29087,29812,30075,29953,428236,33351,34082,33973,,,,,,,
广东省,48021,46183,46688,48050,,42960,43920,43606,43780,616339,39858,39703,39663,,,,,,,
广西壮族自治区,20403,20352,20259,20785,,22541,22578,22617,22606,319740,24566,24948,24709,,,,,,,
海南省,3994,3899,3934,3897,,4054,4012,4030,4030,57525,4130,4217,4135,,,,,,,
重庆市,12696,12494,12370,12716,,12683,12878,13088,13167,186623,15223,15625,15689,,,,,,,
四川省,33289,34111,35292,35134,,36402,37341,37813,38769,541978,42847,43493,42974,,,,,,,
贵州省,14806,14944,14935,15658,,17464,17736,17888,17919,254202,19571,19663,19490,,,,,,,
云南省,19962,20044,19993,20179,,21008,21290,21266,21394,303893,21618,22374,21946,,,,,,,
西藏自治区,1317,1308,1275,1324,,1256,1253,1270,1259,18149,1285,1266,1256,,,,,,,
陕西省,16108,15912,16193,16410,,16965,17233,17324,17389,248660,18525,18617,18657,,,,,,,
甘肃省,11082,10948,11067,11384,,11921,12010,12162,12205,173235,13095,13146,13114,,,,,,,
青海省,2420,2429,2465,2458,,2482,2524,2556,2563,36328,2676,2666,2661,,,,,,,
宁夏回族自治区,2807,2757,2760,2875,,2809,2817,2822,2822,39733,2862,2871,2858,,,,,,,
新疆维吾尔自治区,9693,9583,9496,9679,,9611,9649,9597,9452,134718,9605,9591,10010,,,,,,,
注：2005年为1%人口抽样调查样本数据，其他年份为1‰人口变动调查样本数据。
数据来源：国家统计局
