数据库：分省年度数据
指标：城市建设用地面积(平方公里)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1586,1505,1445,1426,,1350,1311,1289,1254,,1254,,,,,,,,,
天津市,787,736,722,711,687,662,641,572,540,530,500,,,,,,,,,
河北省,1719,1652,1609,1625,1572,1499,1433,1359,1315,1256,1195,,,,,,,,,
山西省,1034,973,944,878,847,833,752,786,735,676,655,,,,,,,,,
内蒙古自治区,1266,1188,1199,1180,1123,905,862,790,779,796,641,,,,,,,,,
辽宁省,2445,2408,2261,2249,2171,2082,2041,1890,1847,1661,1618,,,,,,,,,
吉林省,1282,1264,1210,1204,1172,1144,1065,971,915,851,800,,,,,,,,,
黑龙江省,1774,1764,1748,1722,1738,1683,1623,1541,1495,1471,1418,,,,,,,,,
上海市,2916,2916,2904,,,,2429,2429,,,1825,,,,,,,,,
江苏省,4068,3874,3702,3553,3425,3168,2992,2704,2484,2414,2279,,,,,,,,,
浙江省,2532,2413,2247,2263,2246,2111,2025,1894,1735,1730,1573,,,,,,,,,
安徽省,1830,1763,1682,1565,1540,1452,1376,1222,1148,1251,1103,,,,,,,,,
福建省,1208,1175,1126,1077,1019,881,822,794,718,663,604,,,,,,,,,
江西省,1123,1086,1034,986,966,888,848,825,759,671,647,,,,,,,,,
山东省,4279,3828,3854,3681,3526,3347,3192,3023,2848,2638,2436,,,,,,,,,
河南省,2233,2144,2083,2019,1947,1828,1760,1650,1518,1429,1327,,,,,,,,,
湖北省,2423,2062,2127,2043,1969,1629,1618,1369,1351,1404,1386,,,,,,,,,
湖南省,1480,1445,1430,1475,1459,1439,1225,1194,1192,1116,1086,,,,,,,,,
广东省,4416,4001,4083,4172,4775,4689,3943,3530,2932,3080,2973,,,,,,,,,
广西壮族自治区,1141,1099,1030,932,909,846,1006,783,745,764,697,,,,,,,,,
海南省,258,288,253,268,261,204,354,351,312,309,187,,,,,,,,,
重庆市,1029,921,859,945,856,770,694,656,620,574,437,,,,,,,,,
四川省,2138,2004,1856,1746,1610,1473,1382,1293,1210,1331,1261,,,,,,,,,
贵州省,636,601,556,524,477,497,474,471,465,446,432,,,,,,,,,
云南省,911,791,847,887,833,755,726,695,536,450,402,,,,,,,,,
西藏自治区,125,111,111,40,83,79,79,79,78,74,72,,,,,,,,,
陕西省,946,885,776,706,705,668,740,662,653,581,585,,,,,,,,,
甘肃省,757,658,643,615,594,567,535,515,505,525,464,,,,,,,,,
青海省,156,149,122,122,113,112,109,109,108,105,126,,,,,,,,,
宁夏回族自治区,376,357,333,313,284,332,299,206,265,237,217,,,,,,,,,
新疆维吾尔自治区,1110,1051,954,933,852,834,783,698,704,606,581,,,,,,,,,
数据来源：国家统计局
