数据库：分省年度数据
指标：地方财政国防支出(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,8.49,9.06,7.87,6.59,4.70,5.29,2.21,2.48,,,,,,,,,,,,
天津市,1.16,1.62,1.60,1.01,0.88,1.02,0.56,1.01,,,,,,,,,,,,
河北省,12.38,10.86,10.48,11.55,7.08,4.51,2.58,2.64,,,,,,,,,,,,
山西省,5.44,5.58,4.64,4.41,3.30,2.70,2.30,1.81,,,,,,,,,,,,
内蒙古自治区,4.77,5.26,6.19,4.46,3.88,3.26,1.59,1.36,,,,,,,,,,,,
辽宁省,11.97,11.99,13.75,11.43,7.58,7.49,5.38,5.89,,,,,,,,,,,,
吉林省,5.18,6.08,5.38,4.48,3.70,3.08,1.39,1.34,,,,,,,,,,,,
黑龙江省,4.88,5.58,5.00,5.13,4.92,3.47,2.77,2.54,,,,,,,,,,,,
上海市,6.57,6.62,6.88,7.61,7.25,6.06,0.93,1.01,,,,,,,,,,,,
江苏省,22.00,22.54,17.58,18.46,12.93,11.19,5.32,4.17,,,,,,,,,,,,
浙江省,7.93,8.53,7.67,7.54,6.43,5.48,5.00,4.29,,,,,,,,,,,,
安徽省,5.70,4.80,6.01,5.57,4.63,2.97,2.00,2.31,,,,,,,,,,,,
福建省,6.56,7.61,5.51,4.76,3.27,3.26,3.15,3.20,,,,,,,,,,,,
江西省,6.53,5.95,5.40,5.03,4.09,3.25,2.16,1.74,,,,,,,,,,,,
山东省,15.47,15.26,12.68,15.13,10.41,8.42,4.05,3.63,,,,,,,,,,,,
河南省,6.79,6.51,7.13,5.67,4.16,2.56,1.93,1.32,,,,,,,,,,,,
湖北省,4.18,4.12,2.99,2.51,2.00,1.71,1.07,1.05,,,,,,,,,,,,
湖南省,13.05,14.70,9.34,9.56,7.49,6.67,4.05,3.47,,,,,,,,,,,,
广东省,19.05,17.83,14.70,13.04,11.09,8.34,7.77,6.49,,,,,,,,,,,,
广西壮族自治区,9.93,7.92,7.66,8.21,7.26,5.18,3.11,3.43,,,,,,,,,,,,
海南省,4.28,4.18,3.89,4.46,1.91,1.45,0.85,0.73,,,,,,,,,,,,
重庆市,6.86,8.75,7.16,8.88,6.18,3.49,4.48,1.60,,,,,,,,,,,,
四川省,14.59,15.67,12.23,10.72,8.53,8.68,4.88,3.98,,,,,,,,,,,,
贵州省,5.25,4.74,4.58,4.15,3.66,2.81,1.58,1.75,,,,,,,,,,,,
云南省,9.41,7.12,7.17,6.32,6.53,4.62,3.37,3.04,,,,,,,,,,,,
西藏自治区,1.88,2.50,3.43,1.14,3.06,1.13,0.48,1.23,,,,,,,,,,,,
陕西省,3.90,3.35,3.84,3.36,2.90,2.42,1.32,1.83,,,,,,,,,,,,
甘肃省,2.89,1.95,1.85,1.85,1.77,1.65,0.96,0.81,,,,,,,,,,,,
青海省,0.71,0.92,0.99,0.67,0.79,0.83,0.52,0.31,,,,,,,,,,,,
宁夏回族自治区,1.00,1.07,1.41,0.85,0.63,0.49,0.33,0.31,,,,,,,,,,,,
新疆维吾尔自治区,5.60,4.60,5.53,3.77,4.03,2.61,1.72,1.80,,,,,,,,,,,,
数据来源：国家统计局
