数据库：分省年度数据
指标：地方财政公共安全支出(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,279.78,255.82,236.87,218.68,180.94,161.38,160.46,133.80,,,,,,,,,,,,
天津市,139.31,126.18,111.92,100.41,84.92,73.49,65.85,53.88,,,,,,,,,,,,
河北省,248.29,243.05,227.17,200.98,176.08,151.20,136.78,108.92,,,,,,,,,,,,
山西省,160.80,156.09,143.79,130.31,121.84,98.44,90.75,70.61,,,,,,,,,,,,
内蒙古自治区,180.45,175.77,173.36,145.88,120.45,96.90,76.45,60.85,,,,,,,,,,,,
辽宁省,235.67,244.57,228.80,210.29,191.29,154.16,147.58,126.77,,,,,,,,,,,,
吉林省,154.63,147.77,135.67,118.81,109.30,98.19,71.95,61.02,,,,,,,,,,,,
黑龙江省,170.77,173.35,168.40,141.22,134.85,109.11,92.50,79.95,,,,,,,,,,,,
上海市,250.91,226.51,221.08,206.11,187.25,163.41,149.57,134.33,,,,,,,,,,,,
江苏省,473.83,452.99,407.78,371.40,326.80,284.75,252.88,210.73,,,,,,,,,,,,
浙江省,370.69,347.78,319.03,290.87,260.67,216.98,199.62,173.79,,,,,,,,,,,,
安徽省,179.60,163.78,149.15,128.58,119.48,105.32,86.89,72.52,,,,,,,,,,,,
福建省,191.63,189.44,162.39,144.74,120.60,99.47,91.60,76.56,,,,,,,,,,,,
江西省,175.96,162.92,141.71,123.90,107.49,86.22,75.29,65.15,,,,,,,,,,,,
山东省,380.57,341.83,317.38,274.69,244.03,197.37,173.26,156.21,,,,,,,,,,,,
河南省,274.12,261.22,244.42,204.80,189.72,167.14,139.19,119.69,,,,,,,,,,,,
湖北省,259.05,227.04,204.53,188.40,166.87,137.57,125.65,109.42,,,,,,,,,,,,
湖南省,246.11,231.08,200.38,174.42,159.14,125.28,112.80,96.31,,,,,,,,,,,,
广东省,697.23,650.31,621.39,569.85,495.80,432.99,393.21,340.77,,,,,,,,,,,,
广西壮族自治区,192.22,178.81,152.39,139.44,125.14,107.70,95.66,82.45,,,,,,,,,,,,
海南省,67.71,65.10,57.11,53.23,43.94,32.88,24.25,18.82,,,,,,,,,,,,
重庆市,159.56,141.22,134.03,124.93,91.84,71.67,61.44,53.79,,,,,,,,,,,,
四川省,319.19,323.49,272.63,246.07,218.38,182.79,153.14,125.03,,,,,,,,,,,,
贵州省,187.97,168.22,146.21,117.31,101.46,82.95,68.07,57.22,,,,,,,,,,,,
云南省,219.66,214.22,185.88,165.32,145.42,134.56,106.51,84.61,,,,,,,,,,,,
西藏自治区,69.36,71.65,61.77,51.76,41.33,36.78,30.15,17.76,,,,,,,,,,,,
陕西省,161.43,156.89,149.04,128.06,111.50,94.53,76.39,64.17,,,,,,,,,,,,
甘肃省,107.42,102.12,95.22,80.31,70.45,57.52,45.27,38.00,,,,,,,,,,,,
青海省,55.63,46.79,40.31,35.10,35.48,26.08,20.38,15.99,,,,,,,,,,,,
宁夏回族自治区,47.64,46.50,40.97,35.12,31.49,24.17,19.28,14.72,,,,,,,,,,,,
新疆维吾尔自治区,222.28,197.22,177.37,146.28,128.56,87.29,68.30,54.49,,,,,,,,,,,,
数据来源：国家统计局
